id,book,page,figure,figure_title,dcode,description,part_no,qty,model,remarks,fits,fits_why
EC-066-40,EC,66,1930A-1,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),19 631,"RACE, BEARING PUMP COVER",0338-19-631,1,(T=1.2),,yes,selective-fit thickness
EC-067-01,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),19 631 (CONT'D),,0338-19-632,1,(T=1.4),,yes,selective-fit thickness
EC-067-02,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-633,1,(T=1.6),,yes,selective-fit thickness
EC-067-03,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-634,1,(T=1.8),,yes,selective-fit thickness
EC-067-04,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-635,1,(T=2.0),,yes,selective-fit thickness
EC-067-05,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-636,1,(T=2.2),,yes,selective-fit thickness
EC-067-06,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),19 638,"RACE, BEARING REAR CLUTCH",0436-19-656,2,,,yes,
EC-067-07,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),19 639,"RACE, BEARING",0338-19-639,2,,,yes,
EC-067-08,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),19 641,"WASHER, FRONT CLUTCH",0338-19-648,1,(T=1.3),,yes,selective-fit thickness
EC-067-09,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-646,1,(T=1.5),,yes,selective-fit thickness
EC-067-10,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-647,1,(T=1.7),,yes,selective-fit thickness
EC-067-11,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-641,1,(T=1.9),,yes,selective-fit thickness
EC-067-12,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-642,1,(T=2.1),,yes,selective-fit thickness
EC-067-13,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-643,1,(T=2.3),,yes,selective-fit thickness
EC-067-14,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-644,1,(T=2.5),,yes,selective-fit thickness
EC-067-15,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),,,0338-19-645,1,(T=2.7),,yes,selective-fit thickness
EC-067-16,EC,67,1930A-2,CLUTCH & PLANETARY GEAR (AUTOMATIC TRANSMISSION),22 200,"REPAIR KIT, CLUTCH",0397-22-200,1,'81 & '82 MODELS,,yes,'81 & '82 MODELS
EC-068-01,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",17 341A,"GEAR, SPEEDOMETER",3728-17-341A,1,,,yes,
EC-068-02,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 341J,"BALL, STEEL",9961-11-500,1,'81 & '82 MODELS,,yes,'81 & '82 MODELS
EC-068-03,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 397A,BOLT,0338-19-398,4,,,yes,
EC-068-04,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 534A,"RING, SNAP",0338-19-534,1,,,yes,
EC-068-05,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 580,FLANGE,0338-19-580,1,,,yes,
EC-068-06,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 581,"FLANGE, DRIVE",0338-19-581,1,,,yes,
EC-068-07,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 590,"DRUM, CONNECTING",0338-19-590,1,,,yes,
EC-068-08,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 591,"DRUM, CONNECTING",0338-19-591,1,,,yes,
EC-068-09,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 593,"RACE, OUTER",0338-19-593,1,,,yes,
EC-068-10,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 594,"RING, SNAP",0338-19-594,1,,,yes,
EC-068-11,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 595,"CLUTCH, ONE-WAY",0338-19-595,1,,,yes,
EC-068-12,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 596,"RING, SNAP",0338-19-596,2,,,yes,
EC-068-13,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 601,"PISTON, LOW & REVERSE",BT08-19-600,1,,,yes,
EC-068-14,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 603,"SEAL, PISTON",0338-19-603,1,,,yes,
EC-068-15,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 604,"SEAL, O-RING",0338-19-604,1,,,yes,
EC-068-16,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 605,"RING, THRUST SPRING",0338-19-605,1,,,yes,
EC-068-17,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 606,"SPRING, PISTON",0338-19-606,1,,,yes,
EC-068-18,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 607,"RING, SNAP",0338-19-607,1,,,yes,
EC-068-19,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 608,"PLATE, DISHED",0338-19-608,1,,,yes,
EC-068-20,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 609,"PLATE, DRIVEN",0338-19-609,4,,,yes,
EC-068-21,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 610,"PLATE, DRIVE",0338-19-610A,4,,,yes,
EC-068-22,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 613,"PLATE, RETAINING",1758-19-613,1,(T=7.8),,yes,selective-fit thickness
EC-068-23,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",,,1758-19-614,1,(T=8.0),,yes,selective-fit thickness
EC-068-24,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",,,1758-19-615,1,(T=8.2),,yes,selective-fit thickness
EC-068-25,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",,,1758-19-616,1,(T=8.4),,yes,selective-fit thickness
EC-068-26,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",,,1758-19-617,1,(T=8.6),,yes,selective-fit thickness
EC-068-27,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",,,1758-19-618,1,(T=8.8),,yes,selective-fit thickness
EC-068-28,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 619,"RING, SNAP",0338-19-619,1,,,yes,
EC-068-29,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 650,"DISTRIBUTOR, OIL",0842-19-650,1,,,yes,
EC-068-30,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 655,"RING, SEAL",0338-19-655,3,,,yes,
EC-068-31,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 656,"RACE, BEARING",0436-19-656,2,'81 & '82 MODELS,,yes,'81 & '82 MODELS
EC-068-32,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 660,GOVERNOR,0842-19-660,1,,,yes,
EC-068-33,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 663,VALVE,0338-19-663,1,,,yes,
EC-068-34,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 664,SPRING,0338-19-664,1,,,yes,
EC-068-35,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 665,VALVE,0842-19-665,1,,,yes,
EC-068-36,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 666,"SPRING, GOVERNOR",0338-19-666,1,,,yes,
EC-068-37,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 667,"PLATE, RETAINER",0338-19-667,3,,,yes,
EC-068-38,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 670,SHAFT,0338-19-670A,1,,,yes,
EC-068-39,EC,68,1940A-1,"LOW, REVERSE & GOVERNOR (AUTOMATIC TRANSMISSION)",19 676,RING,0338-19-676,1,,,yes,
EC-069-01,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 031,"LEVER, SELECT",8872-19-031,1,,,yes,
EC-069-02,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 036,"SEAL, DUST",1758-19-036A,1,,,yes,
EC-069-03,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 055,WASHER,1758-19-055,1,,,yes,
EC-069-04,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 431,"SHAFT, MANUAL",1758-19-431A,1,,,yes,
EC-069-05,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 432,O-RING,9954-10-0901,1,'81 & '82 MODELS,,yes,'81 & '82 MODELS
EC-069-06,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),,,,2,'83 MODEL,,no,'83 MODEL
EC-069-07,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 434,PIN,1758-19-434,1,,,yes,
EC-069-08,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 440,"PLATE, MANUAL",1758-19-440A,1,,,yes,
EC-069-09,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 443,"NUT, SHAFT",1758-19-443,1,,,yes,
EC-069-10,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 446,O-RING,9954-10-1201,1,,,yes,
EC-069-11,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 449,"RING, SNAP",0338-19-449,1,,,yes,
EC-069-12,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 450,"ROD, PARKING",1758-19-450,1,,,yes,
EC-069-13,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 455,SLEEVE,1758-19-455A,1,,,yes,
EC-069-14,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 701,"SUPPORTER, ACTUATOR",0338-19-701A,1,,,yes,
EC-069-15,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 702,"PLATE, RETAINING",0338-19-702A,1,,,yes,
EC-069-16,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 703,"SPRING, BALL PARK",0338-19-703,2,,,yes,
EC-069-17,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 704,RETAINER,0338-19-704,1,,,yes,
EC-069-18,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 704J,"BALL, STEEL",9961-12-750,2,'81 & '82 MODELS,,yes,'81 & '82 MODELS
EC-069-19,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 706,BOLT,0338-19-706,2,,,yes,
EC-069-20,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 731,"SHAFT, PARKING PAWL",0338-19-731,1,,,yes,
EC-069-21,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 732,"PAWL, PARKING",0338-19-732,1,,,yes,
EC-069-22,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 733,"SPRING, PAWL RETURN",0338-19-733C,1,,,yes,
EC-069-23,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 734,"SPACER, DOWEL",0338-19-734A,1,,,yes,
EC-069-24,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 838,BOLT,8872-19-838A,1,,,yes,
EC-069-25,EC,69,1950A-1,MANUAL LINKAGE (AUTOMATIC TRANSMISSION),19 838B,BOLT,1758-19-838,2,,,yes,
EC-084-01,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 021,"YOKE, UNIVERSAL JOINT",0259-25-021B,1,,,yes,
EC-084-02,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 060S,"JOINT SET, UNIVERSAL",8BB1-25-060,2,,,yes,
EC-084-03,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 071,"RING, SNAP",0259-25-071B,8,(T=1.22),,yes,selective thickness
EC-084-04,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-072B,8,(T=1.24),,yes,selective thickness
EC-084-05,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-073B,8,(T=1.26),,yes,selective thickness
EC-084-06,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-074B,8,(T=1.28),,yes,selective thickness
EC-084-07,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-075B,8,(T=1.30),,yes,selective thickness
EC-084-08,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-076B,8,(T=1.32),,yes,selective thickness
EC-084-09,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-077A,8,(T=1.34),,yes,selective thickness
EC-084-10,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,<A>,0259-25-077B,8,,,yes,alternative to 0259-25-077A
EC-084-11,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-078B,8,(T=1.36),,yes,selective thickness
EC-084-12,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),,,0259-25-079B,8,(T=1.38),,yes,selective thickness
EC-084-13,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 100A,"SHAFT, PROPELLER",8871-25-100,1,,,yes,
EC-084-14,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 123,BOLT,1393-25-123,4,,,yes,
EC-084-15,EC,84,2500A-1,PROPELLER SHAFT ('81 & '82 MODELS),25 130,YOKE,0425-25-130B,1,,,yes,
EC-085-01,EC,85,2500AA-1,PROPELLER SHAFT ('83 MODEL),25 100A,"SHAFT, PROPELLER",M026-25-100,1,,,no,figure '83 only
EC-085-02,EC,85,2500AA-1,PROPELLER SHAFT ('83 MODEL),25 123,BOLT,1456-25-123,4,,,no,figure '83 only
EC-085-03,EC,85,2500AA-1,PROPELLER SHAFT ('83 MODEL),25 125,NUT,1456-25-125,4,,,no,figure '83 only
EC-086-01,EC,86,2600A-1,REAR AXLE,26 010,"CASING, REAR AXLE",FA19-26-020B,1,4-WHL DISC GSL ONLY,,no,GSL only
EC-086-02,EC,86,2600A-1,REAR AXLE,,,8871-26-020D,1,S & GS MODELS,,yes,S & GS models
EC-086-03,EC,86,2600A-1,REAR AXLE,26 041,"PLUG, OIL LEVEL",0259-26-041A,1,,,yes,
EC-086-04,EC,86,2600A-1,REAR AXLE,26 051,"PLUG, MAGNET DRAIN",0259-26-051,1,,,yes,
EC-086-05,EC,86,2600A-1,REAR AXLE,26 060,BREATHER,0886-26-060,1,,,yes,
EC-086-06,EC,86,2600A-1,REAR AXLE,26 111A,"SHAFT, REAR AXLE",FA01-26-111,2,,,yes,
EC-086-07,EC,86,2600A-1,REAR AXLE,26 151,BEARING,8871-26-151A,2,,,yes,
EC-086-08,EC,86,2600A-1,REAR AXLE,26 152,"COLLAR, BEARING",8531-26-152,2,,,yes,
EC-086-09,EC,86,2600A-1,REAR AXLE,26 154,"SEAL, OIL",0187-26-154,2,,,yes,
EC-086-10,EC,86,2600A-1,REAR AXLE,26 155,"SPACER, BEARING",0259-26-155,2,,,yes,
EC-087-01,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 132B,BOLT,3728-26-132,8,,,yes,
EC-087-02,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 251,"DRUM, BRAKE",FA01-26-251,2,,,yes,
EC-087-03,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 280,"PLATE (R), BRAKE BACK",FA01-26-280,1,,,yes,
EC-087-04,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,"PLATE (L), BRAKE BACK",FA01-26-290,1,,,yes,
EC-087-05,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 288,"PLUG, BACK PLATE",0710-26-288,2,,,yes,
EC-087-06,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 288C,PLUG,3648-26-288,2,,,yes,
EC-087-07,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 310,"SHOE, BRAKE",FA01-26-38Z,4,,,yes,
EC-087-08,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 315,"SPRING, BRAKE BACK",GA02-26-3?5,2,,,yes,
EC-087-09,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 341,"SPRING, RETURN-UPPER",FA01-26-341,2,,,yes,
EC-087-10,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 342,"SPRING, RETURN-LOWER",1011-26-342,2,,,yes,
EC-087-11,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 345,"SPRING, BRAKE SHOE",FA01-26-345,4,,,yes,
EC-087-12,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 391,"PIN, BRAKE SHOE",FA01-26-391,4,,,yes,
EC-087-13,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 610A,"CYLINDER (R), WHEEL",FA01-26-610A,1,,,yes,
EC-087-14,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,"CYLINDER (L), WHEEL",FA01-26-710A,1,,,yes,
EC-087-15,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 610J,"BALL, STEEL",9961-11-500,1,,,yes,
EC-087-16,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 615,"GASKET, WHEEL CYLINDER",1175-26-615,2,,,yes,
EC-087-17,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 630,ADJUSTER (R),FA01-26-630,1,,,yes,
EC-087-18,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,ADJUSTER (L),FA01-26-640,1,,,yes,
EC-087-19,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 681S,BOOT SET,BB62-89-334,2,,,yes,
EC-087-20,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 800,"LEVER (R), OPERATING",FA01-26-800,1,,,yes,
EC-087-21,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,"LEVER (L), OPERATING",FA01-26-810,1,,,yes,
EC-087-22,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 808,"LEVER (R), PAWL",FA01-26-808,1,,,yes,
EC-087-23,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,"LEVER (L), PAWL",FA01-26-818,1,,,yes,
EC-087-24,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 832,PIN (R),FA01-26-832,1,,,yes,
EC-087-25,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),,PIN (L),GA02-26-832,1,,,yes,
EC-087-26,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),26 922,"SHEET, TUBE",0613-26-922,3,,,yes,
EC-087-27,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),33 691A,"SCREW, BLEEDER",0259-33-691,2,,,yes,
EC-087-28,EC,87,2610A-1,REAR BRAKES (DRUM BRAKE) (S & GS),33 693A,"CAP, BLEEDER SCREW",0259-33-693,2,,,yes,
EC-088-01,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 130,"COVER, DUST (R)",FA18-26-130,1,,,no,figure GSL only
EC-088-02,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 132B,BOLT,3728-26-132,6,,,no,figure GSL only
EC-088-03,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 140,"COVER, DUST (L)",FA18-26-140,1,,,no,figure GSL only
EC-088-04,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 251B,"PLATE, DISC",FA18-26-251,2,,,no,figure GSL only
EC-088-05,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 6660,PISTON,FA18-26-660,2,,,no,figure GSL only
EC-088-06,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),26 980,"BRAKE (R), DISC",FA18-26-980A,1,,,no,figure GSL only
EC-088-07,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),,"BRAKE (L), DISC",FA18-26-990A,1,,,no,figure GSL only
EC-088-08,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),33 691A,"SCREW, BLEEDER",0233-33-691,2,,,no,figure GSL only
EC-088-09,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),33 693A,"CAP, BLEEDER SCREW",0259-33-693,2,,,no,figure GSL only
EC-088-10,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),49 240A,"SEAL, KIT",FA18-49-240,1,,,no,figure GSL only
EC-088-11,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),49 246A,GREASE,FA18-49-270,1,,,no,figure GSL only
EC-088-12,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),49 250A,BOOT KIT,FA18-49-250,1,,,no,figure GSL only
EC-088-13,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),49 280A,"PAD, SUB SET",FA18-49-280A,1,,,no,figure GSL only
EC-088-14,EC,88,2610AA-1,REAR BRAKES (DISC BRAKE) (GSL),49 290A,ATTACHMENT-PAD,FA18-49-290,1,,,no,figure GSL only
EC-089-01,EC,89,2700A-1,DIFFERENTIAL,27 012,WASHER,0223-27-012,1,,,yes,
EC-089-02,EC,89,2700A-1,DIFFERENTIAL,27 018,"SEAL, OIL",0223-27-018,1,'81 & '82 MODELS,,yes,
EC-089-03,EC,89,2700A-1,DIFFERENTIAL,,,M005-27-165,1,'83 MODEL,,no,'83 model
EC-089-04,EC,89,2700A-1,DIFFERENTIAL,27 020,"FLANGE, COMPANION",0223-27-020C,1,'81 & '83 MODELS,,unclear,printed '81 & '83 (likely misprint for '82)
EC-089-05,EC,89,2700A-1,DIFFERENTIAL,,,M005-27-120D,1,'83 MODEL,,no,'83 model
EC-089-06,EC,89,2700A-1,DIFFERENTIAL,27 030,"NUT, LOCK",0223-27-030,1,,,yes,
EC-089-07,EC,89,2700A-1,DIFFERENTIAL,27 100,DRIVE & DIFFERENTIAL,8051-27-100C,1,'81 & '82 S & GS MODELS,,yes,S & GS models
EC-089-08,EC,89,2700A-1,DIFFERENTIAL,,,M019-27-100A,1,'83 MODEL S & GS MODELS,,no,'83 model
EC-089-09,EC,89,2700A-1,DIFFERENTIAL,,,M030-27-100,1,'81 & '82 NON-SLIP DIFF. GSL MODELS,,no,GSL model
EC-089-10,EC,89,2700A-1,DIFFERENTIAL,,,M092-27-100B,1,'83 NON-SLIP DIFF. GSL MODEL,,no,GSL model
EC-089-11,EC,89,2700A-1,DIFFERENTIAL,27 110,"GEAR SET, FINAL",8051-27-110D,1,(RATIO=3.909),,yes,
EC-089-12,EC,89,2700A-1,DIFFERENTIAL,27 141,"BEARING, PINION-FRONT",0755-27-210,1,,,yes,
EC-089-13,EC,89,2700A-1,DIFFERENTIAL,27 141A,"BEARING, PINION-REAR",0221-27-210,1,,,yes,
EC-089-14,EC,89,2700A-1,DIFFERENTIAL,27 150,"CARRIER, DIFFERENTIAL",0820-27-150C,1,,,yes,
EC-089-15,EC,89,2700A-1,DIFFERENTIAL,27 171,"PIECE, DISTANCE",0305-27-171,1,,,yes,
EC-089-16,EC,89,2700A-1,DIFFERENTIAL,27 230,CASE,M020-27-230,1,GSL MODEL,,no,GSL model
EC-089-17,EC,89,2700A-1,DIFFERENTIAL,,,0290-27-231B,1,S & GS MODELS,,yes,S & GS models
EC-089-18,EC,89,2700A-1,DIFFERENTIAL,,<A>,0290-27-231C,1,,,yes,alternative to 0290-27-231B
EC-089-19,EC,89,2700A-1,DIFFERENTIAL,27 235A,"BOLT, REAMER",8051-27-235,10,(D=10.0),,yes,selective size
EC-089-20,EC,89,2700A-1,DIFFERENTIAL,,,8051-27-236,10,(D=10.2),,yes,selective size
EC-089-21,EC,89,2700A-1,DIFFERENTIAL,27 251,"GEAR, DIFFERENTIAL SIDE",M020-27-251,2,GSL MODEL,,no,GSL model
EC-089-22,EC,89,2700A-1,DIFFERENTIAL,,,0820-27-251A,2,S & GS MODELS,,yes,S & GS models
EC-089-23,EC,89,2700A-1,DIFFERENTIAL,27 252,WASHER,0290-27-252,2,(T=2.00) S & GS MODELS,,yes,S & GS models
EC-089-24,EC,89,2700A-1,DIFFERENTIAL,,,0290-27-253,2,(T=2.10) S & GS MODELS,,yes,S & GS models
EC-089-25,EC,89,2700A-1,DIFFERENTIAL,,,0290-27-254,2,(T=2.20) S & GS MODELS,,yes,S & GS models
EC-089-26,EC,89,2700A-1,DIFFERENTIAL,,,0290-27-256,2,(T=2.05) S & GS MODELS,,yes,S & GS models
EC-089-27,EC,89,2700A-1,DIFFERENTIAL,,,0290-27-259,2,(T=2.15) S & GS MODELS,,yes,S & GS models
EC-089-28,EC,89,2700A-1,DIFFERENTIAL,,,M020-27-252,2,(T=1.60) GSL MODEL,,no,GSL model
EC-089-29,EC,89,2700A-1,DIFFERENTIAL,,,M020-27-253,2,(T=1.80) GSL MODEL,,no,GSL model
EC-089-30,EC,89,2700A-1,DIFFERENTIAL,,,M020-27-256,4,(T=2.00) GSL MODEL,,no,GSL model
EC-089-31,EC,89,2700A-1,DIFFERENTIAL,,,M020-27-257,4,(T=2.10) GSL MODEL,,no,GSL model
